particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Opening Balance,,,,,,0.000000
Funds added using UPI IAP979 with reference number 204264078951    ,2022-02-11,NSE-EQ - Z,Bank Receipts,0.000000,40000.000000,40000.000000
Net settlement for Equity with settlement number: 2022029,2022-02-11,NSE-EQ - Z,Book Voucher,0.000000,102.314320,40102.314320
Net settlement for Equity with settlement number: 2022030,2022-02-14,NSE-EQ - Z,Book Voucher,0.000000,255.603283,40357.917603
Net settlement for Equity with settlement number: 2022031,2022-02-15,NSE-EQ - Z,Book Voucher,132.759813,0.000000,40225.157790
Net settlement for Equity with settlement number: 2022032,2022-02-16,NSE-EQ - Z,Book Voucher,640.820917,0.000000,39584.336873
Net settlement for Equity with settlement number: 2022033,2022-02-17,NSE-EQ - Z,Book Voucher,103.941458,0.000000,39480.395415
Net settlement for Equity with settlement number: 2022034,2022-02-18,NSE-EQ - Z,Book Voucher,0.000000,388.455259,39868.850674
Net settlement for Equity with settlement number: 2022035,2022-02-21,NSE-EQ - Z,Book Voucher,7.964316,0.000000,39860.886358
Net settlement for Equity with settlement number: 2022036,2022-02-22,NSE-EQ - Z,Book Voucher,327.516560,0.000000,39533.369798
Net settlement for Equity with settlement number: 2022037,2022-02-23,NSE-EQ - Z,Book Voucher,209.879689,0.000000,39323.490109
Net settlement for Equity with settlement number: 2022038,2022-02-24,NSE-EQ - Z,Book Voucher,0.000000,359.527470,39683.017579
Net settlement for Equity with settlement number: 2022039,2022-02-25,NSE-EQ - Z,Book Voucher,429.691678,0.000000,39253.325901
Net settlement for Equity with settlement number: 2022041,2022-03-02,NSE-EQ - Z,Book Voucher,0.000000,198.499090,39451.824991
Net settlement for Equity with settlement number: 2022042,2022-03-03,NSE-EQ - Z,Book Voucher,450.728355,0.000000,39001.096636
Net settlement for Equity with settlement number: 2022043,2022-03-04,NSE-EQ - Z,Book Voucher,0.000000,2.670431,39003.767067
Net settlement for Equity with settlement number: 2022044,2022-03-07,NSE-EQ - Z,Book Voucher,0.000000,352.355151,39356.122218
Securities Transaction Tax  on 2022-03-07 for 2022044,2022-03-08,NSE-EQ - Z,Book Voucher,18.000000,0.000000,39338.122218
Net settlement for Equity with settlement number: 2022045,2022-03-08,NSE-EQ - Z,Book Voucher,0.000000,472.739482,39810.861700
Net settlement for Equity with settlement number: 2022046,2022-03-09,NSE-EQ - Z,Book Voucher,0.000000,27.337915,39838.199615
Net settlement for Equity with settlement number: 2022047,2022-03-10,NSE-EQ - Z,Book Voucher,0.000000,194.432252,40032.631867
Net settlement for Equity with settlement number: 2022048,2022-03-11,NSE-EQ - Z,Book Voucher,261.929740,0.000000,39770.702127
Call and Trade charges(Auto Square Off) for 2022-03-14,2022-03-14,NSE-EQ - Z,Journal Entry,59.000000,0.000000,39711.702127
Net settlement for Equity with settlement number: 2022049,2022-03-14,NSE-EQ - Z,Book Voucher,286.451019,0.000000,39425.251108
Net settlement for Equity with settlement number: 2022050,2022-03-15,NSE-EQ - Z,Book Voucher,382.003797,0.000000,39043.247311
Net settlement for Equity with settlement number: 2022051,2022-03-16,NSE-EQ - Z,Book Voucher,89.517469,0.000000,38953.729842
Net settlement for Equity with settlement number: 2022052,2022-03-17,NSE-EQ - Z,Book Voucher,0.000000,71.563631,39025.293473
Net settlement for Equity with settlement number: 2022053,2022-03-21,NSE-EQ - Z,Book Voucher,336.874289,0.000000,38688.419184
Net settlement for Equity with settlement number: 2022054,2022-03-22,NSE-EQ - Z,Book Voucher,0.000000,92.095373,38780.514557
Net settlement for Equity with settlement number: 2022055,2022-03-23,NSE-EQ - Z,Book Voucher,405.665726,0.000000,38374.848831
Net settlement for Equity with settlement number: 2022056,2022-03-24,NSE-EQ - Z,Book Voucher,0.000000,47.196882,38422.045713
Net settlement for Equity with settlement number: 2022057,2022-03-25,NSE-EQ - Z,Book Voucher,0.000000,105.273765,38527.319478
Net settlement for Equity with settlement number: 2022058,2022-03-28,NSE-EQ - Z,Book Voucher,308.301096,0.000000,38219.018382
Net settlement for Equity with settlement number: 2022059,2022-03-29,NSE-EQ - Z,Book Voucher,147.305800,0.000000,38071.712582
Net settlement for Equity with settlement number: 2022060,2022-03-30,NSE-EQ - Z,Book Voucher,160.296313,0.000000,37911.416269
Net settlement for Equity with settlement number: 2022061,2022-03-31,NSE-EQ - Z,Book Voucher,0.000000,22.912503,37934.328772
Net settlement for Equity with settlement number: 2022062,2022-04-01,NSE-EQ - Z,Book Voucher,0.000000,163.785636,38098.114408
Net settlement for Equity with settlement number: 2022063,2022-04-04,NSE-EQ - Z,Book Voucher,68.330274,0.000000,38029.784134
Net settlement for Equity with settlement number: 2022064,2022-04-05,NSE-EQ - Z,Book Voucher,0.000000,47.112519,38076.896653
Net settlement for Equity with settlement number: 2022065,2022-04-06,NSE-EQ - Z,Book Voucher,142.013269,0.000000,37934.883384
Net settlement for Equity with settlement number: 2022066,2022-04-07,NSE-EQ - Z,Book Voucher,85.973070,0.000000,37848.910314
Net settlement for Equity with settlement number: 2022067,2022-04-08,NSE-EQ - Z,Book Voucher,429.090474,0.000000,37419.819840
Net settlement for Equity with settlement number: 2022068,2022-04-11,NSE-EQ - Z,Book Voucher,71.133468,0.000000,37348.686372
Net settlement for Equity with settlement number: 2022069,2022-04-12,NSE-EQ - Z,Book Voucher,375.840070,0.000000,36972.846302
Net settlement for Equity with settlement number: 2022070,2022-04-13,NSE-EQ - Z,Book Voucher,0.000000,197.302998,37170.149300
Net settlement for Equity with settlement number: 2022071,2022-04-18,NSE-EQ - Z,Book Voucher,0.000000,123.868631,37294.017931
Net settlement for Equity with settlement number: 2022072,2022-04-19,NSE-EQ - Z,Book Voucher,0.000000,127.386114,37421.404045
Net settlement for Equity with settlement number: 2022073,2022-04-20,NSE-EQ - Z,Book Voucher,519.467719,0.000000,36901.936326
Net settlement for Equity with settlement number: 2022074,2022-04-21,NSE-EQ - Z,Book Voucher,0.000000,447.332726,37349.269052
Net settlement for Equity with settlement number: 2022075,2022-04-22,NSE-EQ - Z,Book Voucher,0.000000,83.843748,37433.112800
Net settlement for Equity with settlement number: 2022076,2022-04-25,NSE-EQ - Z,Book Voucher,237.005152,0.000000,37196.107648
Net settlement for Equity with settlement number: 2022077,2022-04-26,NSE-EQ - Z,Book Voucher,40.039648,0.000000,37156.068000
Net settlement for Equity with settlement number: 2022078,2022-04-27,NSE-EQ - Z,Book Voucher,127.861941,0.000000,37028.206059
Net settlement for Equity with settlement number: 2022079,2022-04-28,NSE-EQ - Z,Book Voucher,0.000000,173.135358,37201.341417
Net settlement for Equity with settlement number: 2022080,2022-04-29,NSE-EQ - Z,Book Voucher,0.000000,47.286039,37248.627456
Net settlement for Equity with settlement number: 2022081,2022-05-02,NSE-EQ - Z,Book Voucher,87.216856,0.000000,37161.410600
Net settlement for Equity with settlement number: 2022082,2022-05-04,NSE-EQ - Z,Book Voucher,0.000000,446.177875,37607.588475
Net settlement for Equity with settlement number: 2022083,2022-05-05,NSE-EQ - Z,Book Voucher,266.310105,0.000000,37341.278370
Funds transferred back as part of quarterly settlement,2022-05-05,NSE-EQ - Z,Bank Payments,36424.850000,0.000000,916.428370
Funds added using UPI IAP979 with reference number 212626656133    ,2022-05-06,NSE-EQ - Z,Bank Receipts,0.000000,36000.000000,36916.428370
Net settlement for Equity with settlement number: 2022084,2022-05-06,NSE-EQ - Z,Book Voucher,239.936275,0.000000,36676.492095
Net settlement for Equity with settlement number: 2022085,2022-05-09,NSE-EQ - Z,Book Voucher,17.640366,0.000000,36658.851729
Net settlement for Equity with settlement number: 2022086,2022-05-10,NSE-EQ - Z,Book Voucher,0.000000,353.348507,37012.200236
Net settlement for Equity with settlement number: 2022087,2022-05-11,NSE-EQ - Z,Book Voucher,262.373436,0.000000,36749.826800
Funds added using UPI IAP979 with reference number 213281558603    ,2022-05-12,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,56749.826800
Net settlement for Equity with settlement number: 2022088,2022-05-12,NSE-EQ - Z,Book Voucher,1081.647310,0.000000,55668.179490
Net settlement for Equity with settlement number: 2022090,2022-05-16,NSE-EQ - Z,Book Voucher,22.657788,0.000000,55645.521702
Net settlement for Equity with settlement number: 2022091,2022-05-17,NSE-EQ - Z,Book Voucher,0.000000,719.147627,56364.669329
Net settlement for Equity with settlement number: 2022092,2022-05-18,NSE-EQ - Z,Book Voucher,740.949314,0.000000,55623.720015
Net settlement for Equity with settlement number: 2022093,2022-05-19,NSE-EQ - Z,Book Voucher,0.000000,42.744990,55666.465005
