symbol,isin,trade_date,exchange,segment,series,trade_type,quantity,price,trade_id,order_id,order_execution_time
HDFCBANK,INE040A01034,2022-02-11,NSE,EQ,EQ,sell,25.000000,1523.000000,28923126,1100000015327561,2022-02-11T13:46:51
HDFCBANK,INE040A01034,2022-02-11,NSE,EQ,EQ,sell,10.000000,1523.000000,28923564,1100000015327561,2022-02-11T13:46:52
HDFCBANK,INE040A01034,2022-02-11,NSE,EQ,EQ,sell,15.000000,1523.000000,28923646,1100000015327561,2022-02-11T13:46:53
RELIANCE,INE002A01018,2022-02-11,NSE,EQ,EQ,sell,30.000000,2375.000000,79630465,1300000018169290,2022-02-11T14:00:00
HDFCBANK,INE040A01034,2022-02-11,NSE,EQ,EQ,buy,50.000000,1515.000000,29243918,1100000015400030,2022-02-11T14:10:09
RELIANCE,INE002A01018,2022-02-11,NSE,EQ,EQ,buy,30.000000,2380.000000,80685561,1300000018301362,2022-02-11T15:04:32
TCS,INE467B01029,2022-02-14,NSE,EQ,EQ,sell,1.000000,3781.000000,77474536,1300000008139075,2022-02-14T10:17:24
TCS,INE467B01029,2022-02-14,NSE,EQ,EQ,sell,12.000000,3781.000000,77474478,1300000008139075,2022-02-14T10:17:24
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,sell,30.000000,2345.100000,77743974,1300000009680432,2022-02-14T10:32:15
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,buy,30.000000,2345.700000,77763778,1300000009840930,2022-02-14T10:33:16
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,sell,2.000000,2345.950000,78120495,1300000011304944,2022-02-14T10:55:36
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,sell,1.000000,2345.950000,78120496,1300000011304944,2022-02-14T10:55:36
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,sell,12.000000,2345.950000,78120497,1300000011304944,2022-02-14T10:55:36
TCS,INE467B01029,2022-02-14,NSE,EQ,EQ,buy,13.000000,3760.000000,78250716,1300000008709886,2022-02-14T11:03:57
RELIANCE,INE002A01018,2022-02-14,NSE,EQ,EQ,buy,15.000000,2335.000000,78711526,1300000011334025,2022-02-14T11:37:12
TATASTEEL,INE081A01012,2022-02-15,NSE,EQ,EQ,sell,16.000000,1176.350000,75989560,1300000003606117,2022-02-15T09:37:07
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,sell,2.000000,554.000000,25971958,1100000003735201,2022-02-15T09:42:49
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,sell,4.000000,554.000000,25971957,1100000003735201,2022-02-15T09:42:49
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,sell,15.000000,554.000000,25971956,1100000003735201,2022-02-15T09:42:49
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,sell,4.000000,554.000000,25971959,1100000003735201,2022-02-15T09:42:49
TATASTEEL,INE081A01012,2022-02-15,NSE,EQ,EQ,buy,16.000000,1166.000000,76542775,1300000003677076,2022-02-15T09:59:19
SBIN,INE062A01020,2022-02-15,NSE,EQ,EQ,sell,66.000000,499.000000,76681861,1300000006503572,2022-02-15T10:04:14
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,buy,4.000000,557.950000,26769363,1100000003963559,2022-02-15T10:18:20
HDFCLIFE,INE795G01014,2022-02-15,NSE,EQ,EQ,buy,21.000000,557.950000,26769364,1100000003963559,2022-02-15T10:18:20
HDFC,INE001A01036,2022-02-15,NSE,EQ,EQ,sell,10.000000,2289.000000,27102786,1100000009129697,2022-02-15T10:39:30
TCS,INE467B01029,2022-02-15,NSE,EQ,EQ,buy,10.000000,3754.800000,77463222,1300000010593716,2022-02-15T10:49:16
TCS,INE467B01029,2022-02-15,NSE,EQ,EQ,buy,3.000000,3754.800000,77463221,1300000010593716,2022-02-15T10:49:16
TCS,INE467B01029,2022-02-15,NSE,EQ,EQ,buy,1.000000,3754.700000,77463220,1300000010593716,2022-02-15T10:49:16
HDFC,INE001A01036,2022-02-15,NSE,EQ,EQ,buy,10.000000,2298.850000,27397800,1100000009180852,2022-02-15T11:02:49
SBIN,INE062A01020,2022-02-15,NSE,EQ,EQ,buy,66.000000,501.950000,77699598,1300000006686308,2022-02-15T11:05:28
TCS,INE467B01029,2022-02-15,NSE,EQ,EQ,sell,14.000000,3769.000000,78185311,1300000010714243,2022-02-15T11:38:00
HDFCBANK,INE040A01034,2022-02-15,NSE,EQ,EQ,buy,25.000000,1488.000000,28099570,1100000013666224,2022-02-15T11:53:03
SBIN,INE062A01020,2022-02-15,NSE,EQ,EQ,sell,11.000000,507.200000,78600320,1300000015487671,2022-02-15T12:06:11
SBIN,INE062A01020,2022-02-15,NSE,EQ,EQ,sell,22.000000,507.050000,78600321,1300000015487671,2022-02-15T12:06:11
HDFCBANK,INE040A01034,2022-02-15,NSE,EQ,EQ,sell,25.000000,1496.000000,28352501,1100000013830542,2022-02-15T12:11:11
SBIN,INE062A01020,2022-02-15,NSE,EQ,EQ,buy,33.000000,510.000000,79858350,1300000015535960,2022-02-15T13:41:01
TATASTEEL,INE081A01012,2022-02-16,NSE,EQ,EQ,buy,20.000000,1200.000000,75727425,1300000002748125,2022-02-16T09:31:15
TATASTEEL,INE081A01012,2022-02-16,NSE,EQ,EQ,sell,20.000000,1195.100000,75849893,1300000002825080,2022-02-16T09:36:03
HDFCLIFE,INE795G01014,2022-02-16,NSE,EQ,EQ,sell,66.000000,587.000000,25913071,1100000004073783,2022-02-16T09:48:30
HDFCLIFE,INE795G01014,2022-02-16,NSE,EQ,EQ,buy,66.000000,589.900000,26346543,1100000004185504,2022-02-16T10:16:01
TCS,INE467B01029,2022-02-16,NSE,EQ,EQ,buy,6.000000,3826.150000,78844107,1300000018282518,2022-02-16T13:53:10
TCS,INE467B01029,2022-02-16,NSE,EQ,EQ,buy,22.000000,3826.150000,78844641,1300000018282518,2022-02-16T13:53:12
TCS,INE467B01029,2022-02-16,NSE,EQ,EQ,sell,24.000000,3819.050000,79458458,1300000018713563,2022-02-16T14:41:31
TCS,INE467B01029,2022-02-16,NSE,EQ,EQ,sell,4.000000,3819.100000,79458457,1300000018713563,2022-02-16T14:41:31
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,sell,8.000000,2424.650000,76127872,1300000005314842,2022-02-17T10:01:39
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,sell,2.000000,2424.650000,76127873,1300000005314842,2022-02-17T10:01:39
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,sell,10.000000,2424.650000,76127874,1300000005314842,2022-02-17T10:01:39
HDFCBANK,INE040A01034,2022-02-17,NSE,EQ,EQ,sell,20.000000,1506.300000,26089837,1100000005421526,2022-02-17T10:10:47
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,buy,6.000000,2414.000000,76465564,1300000005465434,2022-02-17T10:30:07
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,buy,14.000000,2414.000000,76465565,1300000005465434,2022-02-17T10:30:07
HDFCBANK,INE040A01034,2022-02-17,NSE,EQ,EQ,buy,10.000000,1511.000000,26449926,1100000005455888,2022-02-17T10:41:37
HDFCBANK,INE040A01034,2022-02-17,NSE,EQ,EQ,buy,2.000000,1511.000000,26449925,1100000005455888,2022-02-17T10:41:37
HDFCBANK,INE040A01034,2022-02-17,NSE,EQ,EQ,buy,7.000000,1511.000000,26449928,1100000005455888,2022-02-17T10:41:37
HDFCBANK,INE040A01034,2022-02-17,NSE,EQ,EQ,buy,1.000000,1511.000000,26449927,1100000005455888,2022-02-17T10:41:37
RELIANCE,INE002A01018,2022-02-17,NSE,EQ,EQ,buy,16.000000,2437.000000,76710015,1300000008543257,2022-02-17T10:49:50
